2026-02-13 17:09:40 | DCModelManager_20260213_161930 | INFO | log_message:161 | Chart saved to results\figures\threshold_sensitivity.png
2026-02-13 17:09:40 | DCModelManager_20260213_161930 | INFO | log_message:207 | Analyzing temporal patterns
2026-02-13 17:09:40 | DCModelManager_20260213_161930 | INFO | log_message:207 | Temporal patterns analyzed
2026-02-13 17:09:40 | DCModelManager_20260213_161930 | INFO | log_message:233 | Creating temporal pattern charts
2026-02-13 17:09:41 | DCModelManager_20260213_161930 | INFO | log_message:233 | Chart saved to results\figures\temporal_patterns.png
2026-02-13 17:09:42 | DCModelManager_20260213_161930 | INFO | log_message:308 | Creating change magnitude analysis chart
2026-02-13 17:09:43 | DCModelManager_20260213_161930 | INFO | log_message:308 | Chart saved to results\figures\change_magnitudes.png
2026-02-13 17:18:06 | DCModelManager_20260213_161930 | INFO | log_message:37 | Starting DC transformation - Threshold: 2.00%
2026-02-13 17:18:08 | DCModelManager_20260213_161930 | INFO | log_message:37 | DC transformation completed - Total rows: 2491, Total events: 525 (21.1%), Up: 263, Down: 262
2026-02-13 17:18:08 | DCModelManager_20260213_161930 | INFO | log_message:18 | Calculating basic DC statistics
2026-02-13 17:18:08 | DCModelManager_20260213_161930 | INFO | log_message:18 | Statistics calculated - Total events: 525
2026-02-13 17:18:08 | DCModelManager_20260213_161930 | INFO | log_message:146 | Analyzing threshold sensitivity for 5 thresholds
2026-02-13 17:18:21 | DCModelManager_20260213_161930 | INFO | log_message:146 | Threshold sensitivity analysis completed
2026-02-13 17:18:21 | DCModelManager_20260213_161930 | INFO | log_message:42 | Creating price chart with DC events
2026-02-13 17:18:22 | DCModelManager_20260213_161930 | INFO | log_message:42 | Chart saved to results\figures\price_with_dc.png
2026-02-13 17:18:22 | DCModelManager_20260213_161930 | INFO | log_message:99 | Creating event period distribution chart
2026-02-13 17:18:23 | DCModelManager_20260213_161930 | INFO | log_message:99 | Chart saved to results\figures\event_periods.png
2026-02-13 17:18:23 | DCModelManager_20260213_161930 | INFO | log_message:161 | Creating threshold sensitivity charts
2026-02-13 17:18:25 | DCModelManager_20260213_161930 | INFO | log_message:161 | Chart saved to results\figures\threshold_sensitivity.png
2026-02-13 17:18:25 | DCModelManager_20260213_161930 | INFO | log_message:207 | Analyzing temporal patterns
2026-02-13 17:18:25 | DCModelManager_20260213_161930 | INFO | log_message:207 | Temporal patterns analyzed
2026-02-13 17:18:25 | DCModelManager_20260213_161930 | INFO | log_message:233 | Creating temporal pattern charts
2026-02-13 17:18:27 | DCModelManager_20260213_161930 | INFO | log_message:233 | Chart saved to results\figures\temporal_patterns.png
2026-02-13 17:18:27 | DCModelManager_20260213_161930 | INFO | log_message:308 | Creating change magnitude analysis chart
2026-02-13 17:18:28 | DCModelManager_20260213_161930 | INFO | log_message:308 | Chart saved to results\figures\change_magnitudes.png
